frame_index,cpu_eager_bs1_state,cpu_eager_bs1_row_count,cpu_optimized_bs1_state,cpu_optimized_bs1_row_count,cuda_eager_bs1_state,cuda_eager_bs1_row_count,cuda_eager_bs32_state,cuda_eager_bs32_row_count,cuda_no_tf32_eager_bs1_state,cuda_no_tf32_eager_bs1_row_count,cuda_no_tf32_eager_bs32_state,cuda_no_tf32_eager_bs32_row_count,cpu_eager_bs1__cpu_optimized_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_no_tf32_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_eager_bs32__cuda_no_tf32_eager_bs32_max_probability_abs_diff
18,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,3.814697265625e-06,0.004422873258590698,0.0067864954471588135,0.0037055909633636475,4.708766937255859e-06,0.004423558712005615,8.493661880493164e-06,1.2159347534179688e-05,8.195638656616211e-06,0.00370866060256958
19,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,6.735324859619141e-06,0.005967468023300171,0.007647395133972168,0.00421452522277832,5.21540641784668e-06,0.005969345569610596,2.041459083557129e-05,1.8537044525146484e-05,2.0116567611694336e-05,0.004208475351333618
20,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.4836273193359375e-06,0.004381924867630005,0.00660097599029541,0.0033656656742095947,3.635883331298828e-06,0.0043853819370269775,1.2099742889404297e-05,1.1414289474487305e-05,1.0907649993896484e-05,0.0033623874187469482
21,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,degraded,3,3.0994415283203125e-06,0.004379332065582275,0.007407546043395996,0.004139751195907593,4.76837158203125e-06,0.004377931356430054,7.18235969543457e-06,8.404254913330078e-06,7.68899917602539e-06,0.004136413335800171
22,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,degraded,3,3.4570693969726562e-06,0.00321236252784729,0.005798369646072388,0.0027473270893096924,4.649162292480469e-06,0.003216564655303955,1.239776611328125e-05,9.775161743164062e-06,1.379847526550293e-05,0.0027429163455963135
23,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,degraded,2,3.7550926208496094e-06,0.004409044981002808,0.004643082618713379,0.002854287624359131,4.0531158447265625e-06,0.0044082701206207275,1.0609626770019531e-05,9.864568710327148e-06,1.2218952178955078e-05,0.0028495490550994873
24,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,degraded,2,2.9206275939941406e-06,0.004551112651824951,0.004887402057647705,0.004568308591842651,3.814697265625e-06,0.004550516605377197,1.1414289474487305e-05,1.0341405868530273e-05,1.329183578491211e-05,0.004564106464385986
25,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,4.738569259643555e-06,0.004731357097625732,0.0072526633739471436,0.0027890801429748535,4.231929779052734e-06,0.004735022783279419,2.1576881408691406e-05,1.7642974853515625e-05,2.0384788513183594e-05,0.002809464931488037
26,valid,3,valid,3,degraded,3,degraded,3,valid,3,valid,3,3.814697265625e-06,0.005339860916137695,0.007008731365203857,0.005490630865097046,3.933906555175781e-06,0.0053403377532958984,1.2695789337158203e-05,1.239776611328125e-05,1.150369644165039e-05,0.005480080842971802
27,valid,3,valid,3,degraded,3,degraded,3,valid,3,valid,3,3.1888484954833984e-06,0.0040534138679504395,0.003639906644821167,0.0031430721282958984,3.7550926208496094e-06,0.004054635763168335,8.612871170043945e-06,6.765127182006836e-06,9.59634780883789e-06,0.0031401216983795166
28,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,3.3080577850341797e-06,0.0039676278829574585,0.005205169320106506,0.003298252820968628,8.732080459594727e-06,0.003965899348258972,1.3262033462524414e-05,9.000301361083984e-06,1.430511474609375e-05,0.0032989978790283203
29,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,3.3676624298095703e-06,0.002632051706314087,0.004364728927612305,0.003969430923461914,4.26173210144043e-06,0.0026294589042663574,1.0848045349121094e-05,8.612871170043945e-06,1.0341405868530273e-05,0.00396236777305603
30,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,3.069639205932617e-06,0.00290524959564209,0.0037881135940551758,0.0032032132148742676,4.589557647705078e-06,0.002902984619140625,7.569789886474609e-06,7.212162017822266e-06,8.672475814819336e-06,0.0032103359699249268
31,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,5.304813385009766e-06,0.004705995321273804,0.005538523197174072,0.002798736095428467,4.798173904418945e-06,0.004707157611846924,8.493661880493164e-06,8.791685104370117e-06,8.553266525268555e-06,0.0028012096881866455
32,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,5.245208740234375e-06,0.0033375918865203857,0.006399303674697876,0.004227876663208008,5.125999450683594e-06,0.0033398568630218506,1.4066696166992188e-05,1.0669231414794922e-05,1.2814998626708984e-05,0.004230082035064697
33,valid,3,valid,3,degraded,3,degraded,3,valid,3,valid,3,6.0498714447021484e-06,0.004352450370788574,0.009676158428192139,0.005856573581695557,5.662441253662109e-06,0.0043562352657318115,1.4454126358032227e-05,1.823902130126953e-05,1.233816146850586e-05,0.00586429238319397
34,valid,2,valid,2,degraded,2,degraded,2,valid,2,valid,2,4.0531158447265625e-06,0.00344085693359375,0.0038450956344604492,0.002187013626098633,4.947185516357422e-06,0.0034388303756713867,1.5497207641601562e-05,1.3470649719238281e-05,1.3768672943115234e-05,0.0021862387657165527
35,valid,3,valid,3,degraded,3,degraded,3,valid,3,valid,3,2.8908252716064453e-06,0.0030763745307922363,0.005192160606384277,0.0048986077308654785,4.6193599700927734e-06,0.0030802786350250244,1.0371208190917969e-05,1.0520219802856445e-05,1.0073184967041016e-05,0.004903256893157959
36,valid,2,valid,2,degraded,2,degraded,2,valid,2,valid,2,4.231929779052734e-06,0.00455823540687561,0.0068350136280059814,0.0038275420665740967,4.470348358154297e-06,0.004556000232696533,1.4424324035644531e-05,1.7136335372924805e-05,1.8209218978881836e-05,0.003809332847595215
37,valid,2,valid,2,degraded,2,degraded,2,valid,2,valid,2,9.298324584960938e-06,0.0052536725997924805,0.005209207534790039,0.0026936233043670654,1.1086463928222656e-05,0.005250602960586548,1.1980533599853516e-05,1.0311603546142578e-05,1.1175870895385742e-05,0.002699345350265503
38,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,5.602836608886719e-06,0.004792720079421997,0.007207304239273071,0.002595871686935425,3.546476364135742e-06,0.004792958498001099,1.2874603271484375e-05,1.239776611328125e-05,1.8477439880371094e-05,0.002594679594039917
